Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
Guyana,2.00551438236962,68.201,4279840193.7046,26.441,88.0038375854492,34.0
Haiti,0.369048200333356,63.237,14833154471.7456,52.427,40.8362846374512,14.2
Honduras,0.3476135161844,72.487,20979767785.2104,55.165,89.9817123413086,27.1
"Hong Kong SAR, China",38.9499399216491,84.2780487804878,309383627028.561,100.0,100.0,84.94835296
Hungary,4.56246525249104,75.5682926829269,125174166987.372,70.5,100.0,72.83473703
Iceland,11.3901495029218,82.4682926829268,17517210519.0912,93.7,100.0,98.2
India,0.399752709149401,69.636,2103587813812.75,32.777,88.0,14.9
Indonesia,0.127675543243526,69.699,860854235065.079,53.313,97.5373687744141,22.0627426
"Iran, Islamic Rep.",3.44639753479213,75.124,408212918053.939,73.358,99.9599990844727,45.33497615
Iraq,0.9715760982742,69.44,166774109673.732,69.921,99.3454284667969,16.8
Ireland,15.9169365666588,81.4536585365854,291775166506.891,62.538,100.0,83.49479167
Israel,24.9469000386407,82.0512195121951,303414276832.04,92.179,100.0,77.35208966
Italy,9.6807677420957,82.5439024390244,1836637711060.55,69.565,100.0,58.14173496
Jamaica,0.829367046917036,72.394,14188935947.5694,54.833,94.9000015258789,42.22122119
Japan,1.61477505702794,83.7939024390244,4444930651964.18,91.381,100.0,91.05802839
Jordan,40.9771116038916,75.011,38587017944.3352,90.256,99.8981704711914,54.22
Kazakhstan,20.1233050855632,71.97,184388432148.715,57.191,100.0,70.8299336
Kenya,2.35472288542212,61.892,70120413328.7838,25.658,41.5999984741211,16.58785485
Kiribati,2.80458625014454,66.059,170291037.487792,51.619,90.5581817626953,14.9
"Korea, Rep.",2.63915935436429,82.0243902439024,1465773245547.15,81.634,100.0,89.8962558
Kuwait,73.6395507326993,79.562,114567298105.683,100.0,100.0,82.0
Kyrgyz Republic,3.44079642260338,70.6512195121951,6678178340.45121,35.777,98.6900024414063,30.24704278
Lao PDR,0.327020358502169,66.67,14426381187.0894,33.108,89.6999969482422,18.2
Latvia,13.3532402640341,74.4804878048781,27263090547.0617,67.98,100.0,79.20058292
Lebanon,34.1456803007755,79.229,49929337837.0813,88.106,99.5831756591797,74.0
Lesotho,0.307818842147762,51.101,2359759799.04224,26.908,31.6773338317871,25.0
Liberia,2.52649198234771,59.148,3227075700.0,49.82,15.161735534668,10.0
Liechtenstein,62.5962537635555,82.6560975609756,6268391521.19701,14.303,100.0,96.6411951
Lithuania,4.72608962255138,74.3219512195122,41435533340.3883,67.23,100.0,71.37805901
Luxembourg,43.9641339422687,82.2926829268293,60071584216.1375,90.179,100.0,96.37671417
"Macao SAR, China",58.321902771585,83.984,45047964934.2517,100.0,100.0,77.60013186
Madagascar,0.132347777361949,64.339,11323020828.5758,35.193,23.0059337615967,4.17397219
Malawi,1.2498117945782,61.378,6373212640.84604,16.313,10.8000001907349,6.0
Malaysia,8.28934891611083,75.094,301354756113.174,74.213,99.7788162231445,71.06406781
Maldives,25.8721817536855,79.695,4109424799.72407,38.529,99.7064743041992,54.46195515
Mali,2.06335973795908,58.363,13104764333.9941,39.991,37.5999984741211,10.33
Malta,9.8984880693625,81.8975609756097,11091423499.3898,94.414,100.0,75.96001898
Mauritania,3.39667673329787,64.485,6166857628.62212,51.089,39.5,17.6
Mauritius,2.24510921983142,74.3531707317073,12007291045.6489,41.0,99.3616104125977,50.13931848
Mexico,0.939364727416811,74.682,1171867608197.72,79.285,99.0,57.43104299
"Micronesia, Fed. Sts.",2.63833046142064,71.408,316489900.0,22.456,73.9390563964844,31.50108128
Moldova,3.51210659793059,69.24,7745241912.94722,42.49,100.0,69.00000447
Mongolia,0.595444478012824,69.498,11619892396.0767,68.23,88.4001770019531,22.50000413
Montenegro,13.1900776789324,76.4487804878049,4054712082.54743,65.806,100.0,68.11978601
Morocco,0.257467738138459,72.92,110414366621.263,60.809,97.3000030517578,57.07999935
Mozambique,0.796801385438194,58.151,15950969018.9458,34.4,24.0,6.5
Myanmar,0.13601460292319,65.561,63045305229.1046,29.858,60.5,10.9
Namibia,3.81840143482876,60.7,11335179560.987,46.9,51.5999984741211,25.68785182
Nepal,1.81764555283951,67.456,24360795410.6422,18.557,82.5239562988281,17.58161801
Netherlands,11.6956827411211,81.509756097561,765572770634.375,90.173,100.0,91.72413793
New Caledonia,24.4339041798737,77.2804878048781,8738205836.7394,69.379,100.0,74.00175279
New Zealand,22.95970035283,81.4568292682927,178064471137.921,86.341,100.0,85.2
Nicaragua,0.66198270577991,72.983,12756706583.3113,57.895,83.2493286132813,19.7042915
Niger,0.951072208218253,61.083,9683867893.68343,16.247,16.6000003814697,2.476219975
Nigeria,0.658124087599013,51.841,493026782401.561,47.838,52.5,24.5
North Macedonia,6.28977417338761,75.4024390243902,10064515432.0265,57.408,100.0,70.38020308
Norway,14.2356111639164,82.3048780487805,385801550067.169,81.091,100.0,96.81032569
Oman,41.085873617455,77.687,78710793237.9714,81.35,100.0,73.53
Pakistan,1.92084606074688,65.697,270556131701.171,36.026,71.3815460205078,11.0
Panama,4.70102752739085,77.468,54091800000.0,66.696,92.2947692871094,51.20542499
Papua New Guinea,0.338376608624312,64.701,21723531173.2409,13.012,42.8782196044922,7.9
Paraguay,2.35666668624757,73.191,36211447840.0971,60.75,99.3315353393555,49.71630466
Peru,0.289645140800474,75.621,189805300841.603,77.357,93.852180480957,40.85260091
Philippines,0.210390539089137,71.268,306446140628.709,46.284,89.0800018310547,36.9
Poland,1.60418083655994,77.4512195121951,477111287969.227,60.278,100.0,67.99698716
Portugal,8.0895935893659,81.1243902439025,199394066525.44,63.514,100.0,68.63286148
Puerto Rico,7.46549639203331,79.695,103375500000.0,93.624,100.0,63.46633538
Qatar,75.4976278935561,80.064,161739955576.923,98.945,100.0,92.88482645
Romania,1.16313480315329,74.9121951219512,177882417554.984,53.887,100.0,55.76315563
Russian Federation,8.11621785991527,71.1834146341463,1363481063446.77,74.05,95.5,70.09924123
Rwanda,3.80308098441419,65.298,8539424910.07969,17.004,22.7999992370605,18.0
Samoa,2.55087254435175,72.515,824160018.151066,18.914,99.0670852661133,25.40700977
Sao Tome and Principe,1.25772285966461,67.249,316066072.343754,70.174,67.2492980957031,25.82
Saudi Arabia,32.2949424946542,76.918,654269739552.019,83.18,100.0,69.6162358
Senegal,1.73995141736156,66.879,17774766636.0459,45.862,60.5,21.7
Serbia,9.12262208400769,75.2878048780488,39655958842.5478,55.696,99.9000015258789,65.3170254
Seychelles,13.2589068217392,74.2951219512195,1416001321.92671,55.4,100.0,54.25961786
Sierra Leone,1.41345729487955,57.189,4218723875.1379,40.829,19.5345363616943,6.344421603
Singapore,45.3917919104027,82.7439024390244,308004146057.608,100.0,100.0,83.2
Slovak Republic,3.26541789940692,76.5634146341463,88900883130.8374,53.889,100.0,77.63468203
Slovenia,11.4129640933173,80.7756097560976,43107506024.3254,53.781,100.0,73.09865997
Solomon Islands,0.442947201036342,69.583,1307908069.79418,22.36,55.0999984741211,10.00046498
Somalia,0.234455883618068,54.857,5335000000.0,43.245,51.1348609924316,1.76
South Africa,5.76709044891315,63.95,346709790458.563,64.828,85.3000030517578,51.91911572
South Sudan,6.67856203968099,55.566,11997800760.2242,18.852,4.60133981704712,3.0
Spain,12.6902371918259,82.8317073170732,1196156971279.69,79.602,100.0,78.68963187
Sri Lanka,0.186850018416597,74.927,85140963536.633,18.256,94.3518676757813,12.1
St. Lucia,6.90328055827329,73.138,1807227215.4535,18.515,97.0327377319336,41.7
St. Vincent and the Grenadines,4.18135974128008,74.407,786554592.592593,50.964,99.6432723999023,49.4
Suriname,8.62581150145034,70.8,5126188134.7499,66.056,94.8952331542969,42.76382778
Sweden,16.7675587503806,82.2048780487805,505103781349.757,86.553,100.0,90.61019664
Switzerland,29.3866855419963,82.8975609756098,694118186379.628,73.718,100.0,87.4790556
Syrian Arab Republic,4.73013438841734,65.124,16468399180.3822,52.168,89.8164291381836,29.97979724
Tajikistan,3.24291089626031,69.306,8271454300.59548,26.742,98.0,18.98
Tanzania,0.488535530485828,64.651,47378603783.6471,31.617,26.1706371307373,10.0
Thailand,5.75823265195895,77.717,401296437424.995,47.694,99.5999984741211,39.31612674
Timor-Leste,0.914442948601621,67.137,1594447630.7963,29.49,67.2815322875977,18.6
Togo,3.79000676014412,59.396,4180866177.03946,40.1,44.647590637207,7.12
Tonga,5.39794668927192,70.607,437006227.162781,23.275,100.0,38.65127243
Trinidad and Tobago,3.66763032980219,74.503,26851970253.811,53.319,100.0,65.1
Tunisia,0.503849717164906,75.692,45780077487.7651,68.056,99.9000015258789,46.49999434
Turkiye,3.76900110251173,76.646,864316670330.882,73.611,100.0,53.74497914
Turkmenistan,3.65471158287463,68.782,35799714285.7143,50.317,100.0,14.99677482
Tuvalu,1.42194433239209,64.06,36811659.5297123,59.73,98.0148849487305,27.3
Uganda,1.92012616805897,61.086,32387183844.6699,22.06,18.5,5.7
Ukraine,10.7864611551484,71.189512195122,91030959454.6961,69.061,100.0,48.88464368
United Arab Emirates,88.4040483728066,79.223,370275469560.166,85.674,100.0,90.5
United Kingdom,13.200978246274,80.9560975609756,2934857946213.47,82.626,100.0,92.00029987
United States,14.4906535240608,78.690243902439,18206020741000.0,81.671,100.0,74.55420245
Uruguay,2.09231674852946,77.483,53274304222.136,95.045,99.7094802856445,64.5707871
Uzbekistan,3.91690323992971,70.475,86196265191.6645,50.75,100.0,42.8
Vanuatu,1.20422290404002,69.513,730870581.672312,24.961,52.2051010131836,22.35140458
Vietnam,0.07789713082094,73.876,239258340825.533,33.809,99.8213043212891,45.0
Virgin Islands (U.S.),53.3638784092727,79.0170731707317,3663000000.0,95.35,100.0,54.8391373
West Bank and Gaza,5.4730397522441,74.406,13972400000.0,75.368,99.9000015258789,56.7
"Yemen, Rep.",1.28252922839207,65.873,42444495590.1077,34.777,67.3109283447266,24.08540947
Zambia,0.789025650319302,61.208,21251216798.7762,41.907,31.1000003814697,8.8
Zimbabwe,2.55638252510727,59.591,19963120610.0,32.385,33.7000007629395,22.7428181
