Time	Time Code	Country Name	Country Code	Total greenhouse gas emissions (kt of CO2 equivalent)	Renewable energy consumption (% of total final energy consumption)	CO2 emissions (kt)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE]	Urban population (% of total population)
2016	YR2016	Virgin Islands (U.S.)	VIR	..	4.13	..	..	..	95.48
2016	YR2016	West Bank and Gaza	PSE	..	12.32	..	..	..	75.628
2016	YR2016	Yemen, Rep.	YEM	23899.9996185303	2.48	10850.0003814697	3250	4630	35.394
2016	YR2016	Zambia	ZMB	36389.9993896484	83.07	5320.00017166138	14480	10990	42.438
2016	YR2016	Zimbabwe	ZWE	28530.0006866455	81.9	11020.0004577637	4360	6150	32.296
									
									
									
Data from database: World Development Indicators									
Last Updated: 12/22/2022									
