Time	Time Code	Country Name	Country Code	Net migration	Life expectancy at birth, total (years)	GDP per capita (current US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2016	YR2016	Faroe Islands	FRO	537	82.0926829268293	56834.0685101682	41.777	100	95.10868167
2016	YR2016	Fiji	FJI	-11139	67.24	5368.42324040397	55.235	96.5617446899414	49.42
2016	YR2016	Finland	FIN	17210	81.4292682926829	43814.0265056965	85.275	100	87.70364996
2016	YR2016	France	FRA	14729	82.5731707317073	37062.5335723829	79.917	100	79.26981132
2016	YR2016	French Polynesia	PYF	-1687	82.488	18726.6422497652	61.734	100	68.44041949
2016	YR2016	Gabon	GAB	7395	65.802	6722.1983928425	88.559	88.2038269042969	48.05227375
2016	YR2016	Gambia, The	GMB	-3477	63.013	640.676678884585	59.918	56.3274078369141	21.4
2016	YR2016	Georgia	GEO	-10591	73.569	4062.16988757379	57.837	100	58.45928961
2016	YR2016	Germany	DEU	432017	80.990243902439	42136.1207907991	77.224	100	84.16520664
2016	YR2016	Ghana	GHA	7014	63.89	1900.40593746601	54.749	79.3000030517578	28
2016	YR2016	Gibraltar	GIB	-101	81.702	..	100	100	94.44447158
2016	YR2016	Greece	GRC	-27234	81.3878048780488	17923.9668134716	78.387	100	69.08791547
2016	YR2016	Greenland	GRL	-374	71.8251219512195	48181.874188064	86.326	100	68.50087368
2016	YR2016	Grenada	GRD	-190	74.762	8849.51353500776	36.072	91.7378692626953	53.3
2016	YR2016	Guam	GUM	-1852	76.877	35052.8079075238	94.617	100	77.00999989
2016	YR2016	Guatemala	GTM	-39266	72.355	4173.30166619474	50.319	91.8155822753906	34.50932609
2016	YR2016	Guinea	GIN	-14196	58.763	720.473253567737	35.46	33.5	13.1
2016	YR2016	Guinea-Bissau	GNB	-1392	59.674	642.666406419137	42.533	22.9687919616699	13.8
2016	YR2016	Guyana	GUY	-6311	68.384	5905.38019563205	26.482	89.1703567504883	35.66
2016	YR2016	Haiti	HTI	-33902	63.392	1305.57129738556	53.396	40.4000015258789	22.8
2016	YR2016	Honduras	HND	-6685	72.588	2295.53807949199	55.813	91.5999984741211	29.5
2016	YR2016	Hong Kong SAR, China	HKG	0	84.2268292682927	43733.9163612828	100	100	87.47941467
2016	YR2016	Hungary	HUN	-982	76.0634146341464	13104.6995457458	70.779	100	79.25941213
2016	YR2016	Iceland	ISL	4113	82.2048780487805	61987.9263620283	93.735	100	98.2400163
2016	YR2016	India	IND	68119	70.117	1714.28035526737	33.182	89.2177963256836	16.5
2016	YR2016	Indonesia	IDN	-38653	69.798	3558.81885229219	53.989	97.620002746582	25.4473537
2016	YR2016	Iran, Islamic Rep.	IRN	23759	75.6	5497.24322713074	73.88	99.9499969482422	53.22677167
2016	YR2016	Iraq	IRQ	-75580	68.988	4305.20270154631	70.094	99.6043014526367	37.67
2016	YR2016	Ireland	IRL	18978	81.6536585365854	62895.9111239282	62.737	100	83.5
2016	YR2016	Isle of Man	IMN	107	80.314	82045.4388430866	52.343	100	..
2016	YR2016	Israel	ISR	13263	82.4073170731707	37690.4739511859	92.256	100	79.65312418
2016	YR2016	Italy	ITA	49591	83.2439024390244	30960.7315088902	69.855	100	61.32425277
2016	YR2016	Jamaica	JAM	-11329	72.02	5022.70471701644	55.098	96.7379837036133	44.36685637
2016	YR2016	Japan	JPN	156993	83.9848780487805	39375.4731620781	91.457	100	93.18272128
2016	YR2016	Jordan	JOR	49192	75.215	4003.40474862656	90.506	99.9588241577148	56.15
2016	YR2016	Kazakhstan	KAZ	-7445	72.41	7714.84184376024	57.264	100	74.58772647
2016	YR2016	Kenya	KEN	-29727	62.163	1562.07614156101	26.105	53.0999984741211	16.6
2016	YR2016	Kiribati	KIR	-838	66.332	1506.24667899101	52.45	92.7996139526367	18.7
2016	YR2016	Korea, Dem. People's Rep.	PRK	-3218	72.805	..	61.471	42.9607353210449	..
2016	YR2016	Korea, Rep.	KOR	102075	82.2756097560976	29288.8704389833	81.562	100	92.84302568
2016	YR2016	Kosovo	XKX	-31383	78.981	3759.56024604446	..	99.8000030517578	..
2016	YR2016	Kuwait	KWT	-90785	79.701	27029.9977808519	100	100	85.6
2016	YR2016	Kyrgyz Republic	KGZ	-25279	70.9512195121951	1120.66651300848	35.944	99.7099990844727	34.5
2016	YR2016	Lao PDR	LAO	-11401	67.167	2309.0490761946	33.736	90.5495300292969	21.87
