Country Name,Net migration,"Life expectancy at birth, total (years)",GDP per capita (current US$),Urban population (% of total population),Access to electricity (% of population)
Afghanistan,-0.43359622765117256,-1.16175452091134,-0.6534373621851374,-1.4383276026449923,0.5346663299599865
Albania,-0.07327381106647633,0.8460856795047392,-0.4930770482421938,-0.006762940450548094,0.6188407793669176
Algeria,-0.18833940615987407,0.4466628769798412,-0.500056748655915,0.5520448816413404,0.5980951006032866
Angola,0.3922105675059073,-1.4227584238400144,-0.6005180860289187,0.238738762643664,-1.6133889479246912
Antigua and Barbuda,-0.023764727273922447,0.755679239547058,0.02926138517803677,-1.4457852311956891,0.6230687384941355
Argentina,-0.00015675454738042487,0.5202138789793119,-0.10745320705803497,1.4164440345750111,0.6172871847313265
Armenia,-0.14555080700576645,0.31028706077249135,-0.5128385493710986,0.1930072128528951,0.6153817000310439
Aruba,-0.02306543360208412,0.43197821512230883,0.5894238598253487,-0.6594768783733405,0.6230687384941355
Australia,1.0758881942958463,1.3043467920641072,1.5427517149007892,1.1666991979950578,0.6230687384941355
Austria,0.2771404315445106,1.2012582857047605,1.3394880501859558,-0.028878666497442817,0.6230687384941355
Azerbaijan,-0.01709873305146357,-0.029375552627837132,-0.5039040363688332,-0.152486716728537,0.6230687384941355
"Bahamas, The",-0.01929197229495651,0.16637737456866838,0.6533174556309553,1.0394909132912131,0.6230687384941355
Bahrain,0.10808391594359518,0.9350874996325702,0.34094558133660935,1.3077083815111121,0.6230687384941355
Bangladesh,-0.27364415238815226,-0.14608669121727366,-0.6027231130136347,-1.0070280847963442,-0.3024648853612986
Barbados,-0.02413253758183741,0.5849540838642606,0.095165496569224,-1.1737532288320434,0.6230687384941355
Belarus,0.0454471827660763,0.20338645979731534,-0.4523339390474455,0.8178621935460719,0.6230687384941355
Belgium,0.2339976446864849,1.1754082977052782,1.1928702697522249,1.6861187405576896,0.6230687384941355
Belize,-0.01801144751925256,0.14875578033962808,-0.40298507256184374,-0.5607704499121028,0.362563057397628
Benin,-0.006459479329923284,-1.621065205272612,-0.6298728883619945,-0.5293112582097368,-1.7947244961966977
Bermuda,-0.02383738116190565,1.1483436717154658,4.0795693266198,1.775310263626659,0.6230687384941355
Bhutan,-0.026203173389358698,-0.20840073457793545,-0.5484545809909209,-0.8208016706999143,0.6073020109041073
Bolivia,-0.06956846277933297,-0.5881588594849202,-0.5424938894652936,0.43542300068474965,0.3078954696398743
Bosnia and Herzegovina,-0.17003062638810693,0.5840602348816294,-0.4603838057873122,-0.4740648030266992,0.6230687384941355
Botswana,-0.009629005193190515,-0.8644858878301505,-0.39129022529159696,0.4009207536542261,-0.7538908669875899
Brazil,0.3511883660033914,0.2819392787518613,-0.290314598236045,1.1770713020713148,0.6115378875577789
Brunei Darussalam,-0.0262849090133398,0.3190978578870115,0.5142974449344992,0.7891031776982685,0.6230687384941355
Bulgaria,-0.09170973514221409,0.3292104977706592,-0.33976424725668875,0.6750528927936424,0.6230687384941355
Burkina Faso,-0.058361600557923915,-1.6482637528869994,-0.6469614474506361,-1.304861767548034,-2.580897191662891
