Time	Time Code	Country Name	Country Code	International migrant stock (% of population)	Life expectancy at birth, total (years)	GDP (constant 2015 US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2015	YR2015	Equatorial Guinea	GNQ	1.28097413201429	60.103	13185496836.4124	70.616	66.0409774780273	21.3199999
2015	YR2015	Eritrea	ERI	..	66.033	..	38.206	46.0322418212891	1.083733116
2015	YR2015	Estonia	EST	15.4163092221449	77.590243902439	22890762090.1508	68.416	100	88.4097035
2015	YR2015	Eswatini	SWZ	2.45374795061268	55.019	4063245671.29285	23.3	64.0124130249023	25.64304231
2015	YR2015	Ethiopia	ETH	1.07952601222951	63.649	64589334978.8013	19.428	29	13.85517556
2015	YR2015	Faroe Islands	FRO	11.4462955662981	81.7926829268293	2573908649.0584	41.638	100	94.2
2015	YR2015	Fiji	FJI	1.54134137387981	66.844	4682546881.15833	54.726	95.1682434082031	42.5
2015	YR2015	Finland	FIN	5.73968325726902	81.4804878048781	234534382384.766	85.225	100	86.42213333
2015	YR2015	France	FRA	12.0884793768866	82.3219512195122	2439188643162.5	79.655	100	78.00603771
2015	YR2015	French Polynesia	PYF	10.6300660621578	82.354	5325848045.4324	61.683	100	64.56020975
2015	YR2015	Gabon	GAB	15.5558595298651	65.46	14383107714.0388	88.118	87.3768615722656	45.78453653
2015	YR2015	Gambia, The	GMB	9.67088648285922	62.494	1378176868.31568	59.228	54.5619888305664	18.2
2015	YR2015	Georgia	GEO	4.22024835167253	73.297	14953950557.4406	57.448	100	47.56975964
2015	YR2015	Germany	DEU	14.8790512953233	80.6414634146341	3357585719351.56	77.2	100	87.58979935
2015	YR2015	Ghana	GHA	1.45739715218881	63.175	49406568432.6711	54.086	74.0788421630859	23
2015	YR2015	Gibraltar	GIB	34.3452214669274	80.427	..	100	100	..
2015	YR2015	Greece	GRC	11.3423773738507	81.0365853658537	195683527003.375	78.046	100	66.83495949
2015	YR2015	Greenland	GRL	10.6948350122806	71.9773170731707	2499115623.00272	86.071	100	67.60044348
2015	YR2015	Grenada	GRD	6.60613152351978	75.013	997007407.407407	35.997	91.2906875610352	52.5
2015	YR2015	Guam	GUM	44.7885334196663	76.616	5799000000	94.534	100	73.13999995
2015	YR2015	Guatemala	GTM	0.46718767180629	72.103	62186186575.7433	49.971	90.520622253418	28.80594156
2015	YR2015	Guinea	GIN	1.81156655898875	58.134	8794202443.67366	35.141	34.7451210021973	9.2
2015	YR2015	Guinea-Bissau	GNB	1.21090371816247	59.128	1048229629.42039	42.123	20.0531539916992	6.1
2015	YR2015	Guyana	GUY	2.00551438236962	68.201	4279840193.7046	26.441	88.0038375854492	34
2015	YR2015	Haiti	HTI	0.369048200333356	63.237	14833154471.7456	52.427	40.8362846374512	14.2
2015	YR2015	Honduras	HND	0.3476135161844	72.487	20979767785.2104	55.165	89.9817123413086	27.1
2015	YR2015	Hong Kong SAR, China	HKG	38.9499399216491	84.2780487804878	309383627028.561	100	100	84.94835296
2015	YR2015	Hungary	HUN	4.56246525249104	75.5682926829269	125174166987.372	70.5	100	72.83473703
2015	YR2015	Iceland	ISL	11.3901495029218	82.4682926829268	17517210519.0912	93.7	100	98.2
2015	YR2015	India	IND	0.399752709149401	69.636	2103587813812.75	32.777	88	14.9
2015	YR2015	Indonesia	IDN	0.127675543243526	69.699	860854235065.079	53.313	97.5373687744141	22.0627426
2015	YR2015	Iran, Islamic Rep.	IRN	3.44639753479213	75.124	408212918053.939	73.358	99.9599990844727	45.33497615
2015	YR2015	Iraq	IRQ	0.9715760982742	69.44	166774109673.732	69.921	99.3454284667969	16.8
2015	YR2015	Ireland	IRL	15.9169365666588	81.4536585365854	291775166506.891	62.538	100	83.49479167
2015	YR2015	Isle of Man	IMN	51.516290726817	78.905	7085288006.11154	52.245	100	..
2015	YR2015	Israel	ISR	24.9469000386407	82.0512195121951	303414276832.04	92.179	100	77.35208966
2015	YR2015	Italy	ITA	9.6807677420957	82.5439024390244	1836637711060.55	69.565	100	58.14173496
2015	YR2015	Jamaica	JAM	0.829367046917036	72.394	14188935947.5694	54.833	94.9000015258789	42.22122119
2015	YR2015	Japan	JPN	1.61477505702794	83.7939024390244	4444930651964.18	91.381	100	91.05802839
2015	YR2015	Jordan	JOR	40.9771116038916	75.011	38587017944.3352	90.256	99.8981704711914	54.22
2015	YR2015	Kazakhstan	KAZ	20.1233050855632	71.97	184388432148.715	57.191	100	70.8299336
